Original Pattern,crochetPARADE Pattern,Name ,Variation
R1: Ch 7,7ch,Chain ,
"Row 1: Make a magic ring 
Row 2: Work 5 single crochet into the ring 
Row 3: Work 2 single crochet into the next 4 stitches, work 3 single crochet into the next stitch","ring.R
5sc@R
sc2inc*4,sc3inc",Snail Shell ,Y
"Row 1: Chain 10, turn 
Row 2: 10 double crochet, starting at the first, turn
Row 3: 10 double crochet, starting at the first","10ch, turn
10dc, turn 
10dc",Double DC Ribbon,
R1: Ch 10,10ch,Chain,
"R1: Ch 9, turn
R2: (sc, sk 1) x5","9ch, turn
(sc, sk)*5",Hole ribbon ,
"R1: Ch 10, turn
R2: Tr2tog 5 times, starting in first ch","10ch, turn
5tr2tog",Wide C-shape ribbon,
"R1: Ch 7, sl st in first ch.
R2: Ch 10, sk 1, sl st in next st, repeat 4 times","7ch, ss@[%,0]
[10ch, sk, ss]*4",4 petal flower,A
"R1: Ch 10, turn
R2: 1 sc in each ch, starting in first ch","10ch, turn
10sc",Ribbon,
"Row 1: Chain 2, turn
Row 2: 2 single crochet, starting at the first, turn
Row 3: 4 single crochet into each stitch","2ch, turn 
2sc, turn 
2sc4inc",Cat man ,
"Row 1: Chain 9, turn 
Row 2: 4 double crochet, 1 single crochet, 4 double crochet 
Row 3: Chain 10 and slipstitch into the single crochet from Row 2 ","9ch, turn
4dc, sc.A, 4dc, turn, 
10ch, ss@A",Butterfly with loop ,A
"Row 1: Make a magic ring 
Row 2: Work 6 triple crochet in the ring
Row 3: Work 2 triple crochet into every stitch","ring.R
6tr@R
(2tr2inc)*6",Cone Shape ,Y
"Row 1: Chain 9, turn
Row 2: Skip the first chain, 2 half double crochet in the next stitch, 6 half double crochet, 5 double crochet in the next stitch, turn
Row 3: Double crochet in the first stitch from Row 1, 5 half double crochet, 2 half double crochet in the next stitch, slipstitch in the first stitch from Row 2.","9ch, turn
sk, (hdc2inc,6hdc,dc5inc), turn
(dc@[0,1], 5hdc,hdc2inc), ss@[0,-1]",Boot Base,A
